section_order,section_code,section,question_order,variable,questionnaire_type,question_text,condition_inherited,condition_local,condition_effective,validation_questionnaire,validation_message,variable_expression,options,source_regle,source_document
1,COVER,Couverture,1,cover_id,text,Cover0.Identifiant,,,,,,,,questionnaire,export_coso.zip!Questionnaire/Preview/Original Questionnaire_COSO_V5.html
1,COVER,Couverture,2,cover_district,text,Cover1.District,,,,,,,,questionnaire,export_coso.zip!Questionnaire/Preview/Original Questionnaire_COSO_V5.html
1,COVER,Couverture,3,cover_region,text,Cover2.Region,,,,,,,,questionnaire,export_coso.zip!Questionnaire/Preview/Original Questionnaire_COSO_V5.html
1,COVER,Couverture,4,localite,text,Localite,,,,,,,,questionnaire,export_coso.zip!Questionnaire/Preview/Original Questionnaire_COSO_V5.html
1,COVER,Couverture,5,nom,text,Nom,,,,,,,,questionnaire,export_coso.zip!Questionnaire/Preview/Original Questionnaire_COSO_V5.html
1,COVER,Couverture,6,telephone,text,Téléphone,,,,,,,,questionnaire,export_coso.zip!Questionnaire/Preview/Original Questionnaire_COSO_V5.html
2,A,A.GESTION DES TENTATIVES D’APPEL,1,nom_sup,single-select,Nom du superviseur,,,,,,,01:[REDACTED]|02:[REDACTED],questionnaire,export_coso.zip!Questionnaire/Preview/Original Questionnaire_COSO_V5.html
2,A,A.GESTION DES TENTATIVES D’APPEL,2,nom_agent,single-select: cascading,Nom de l'agent,,,,,,,01:[REDACTED]|02:[REDACTED]|03:[REDACTED]|04:[REDACTED]|05:[REDACTED]|06:[REDACTED]|07:[REDACTED]|08:[REDACTED]|09:[REDACTED]|10:[REDACTED]|11:[REDACTED]|12:[REDACTED]|13:[REDACTED]|14:[REDACTED]|15:[REDACTED]|16:[REDACTED],questionnaire,export_coso.zip!Questionnaire/Preview/Original Questionnaire_COSO_V5.html
2,A,A.GESTION DES TENTATIVES D’APPEL,3,HHA_debut,date: current time,HHA_debut. Heure de début,,,,,,,,questionnaire,export_coso.zip!Questionnaire/Preview/Original Questionnaire_COSO_V5.html
2,A,A.GESTION DES TENTATIVES D’APPEL,4,A1,single-select,A1. Numéro de la tentative d’appel en cours,,HHA_debut!=null,(HHA_debut!=null),,,,01:Première tentative|02:Deuxième tentative|03:Troisième tentative ou plus,questionnaire,export_coso.zip!Questionnaire/Preview/Original Questionnaire_COSO_V5.html
2,A,A.GESTION DES TENTATIVES D’APPEL,5,A2_date,date,A2. Date de l'appel,,HHA_debut!=null,(HHA_debut!=null),,,,,questionnaire,export_coso.zip!Questionnaire/Preview/Original Questionnaire_COSO_V5.html
2,A,A.GESTION DES TENTATIVES D’APPEL,6,A2_heure,text,A2. Heure de l'appel,,HHA_debut!=null,(HHA_debut!=null),,,,,questionnaire,export_coso.zip!Questionnaire/Preview/Original Questionnaire_COSO_V5.html
2,A,A.GESTION DES TENTATIVES D’APPEL,7,A4,single-select,A4. Résultat de cette tentative d’appel,,HHA_debut!=null,(HHA_debut!=null),,,,01:Entretien réalisé (compléter le questionnaire)|02:Pas de réponse|03:Numéro invalide ou incorrect|04:Ligne occupée|05:Rendez-vous fixé pour un rappel|06:Le répondant a refusé de participer|07:Le répondant a raccroché / appel interrompu en cours d’entretien|08:Autre (préciser),questionnaire,export_coso.zip!Questionnaire/Preview/Original Questionnaire_COSO_V5.html
2,A,A.GESTION DES TENTATIVES D’APPEL,8,A4X,text,A4X. Préciser l'autre résultat de la tentative,,A4==8,(A4==8),,,,,questionnaire,export_coso.zip!Questionnaire/Preview/Original Questionnaire_COSO_V5.html
